model_used lon lat
HFF_model -18.941500 66.378600
HFF_model -18.830900 66.383900
HFF_model -18.786600 66.341800
HFF_model -18.670500 66.336600
HFF_model -18.576500 66.373400
HFF_model -18.482500 66.383900
HFF_model -18.344200 66.362800
HFF_model -18.311100 66.318200
HFF_model -18.272400 66.278800
HFF_model -18.161800 66.257700
HFF_model -17.962700 66.210400
HFF_model -17.824400 66.197300
HFF_model -17.708300 66.244600
HFF_model -17.597700 66.247200
HFF_model -17.487100 66.218300
HFF_model -17.359900 66.176300
HFF_model -17.155300 66.134200
HFF_model -17.055800 66.094800
HFF_model -16.934100 66.037000
HFF_model -16.867700 65.992300
HFF_model -16.856700 65.931900
HFF_model -17.017100 65.879300
HFF_model -17.238200 65.926600
HFF_model -17.498200 65.992300
HFF_model -17.719400 66.052800
HFF_model -18.006900 66.102700
HFF_model -18.266800 66.136900
HFF_model -18.526700 66.176300
HFF_model -18.736900 66.205200
HFF_model -18.886200 66.236700
HFF_model -18.996800 66.305000
HFF_model -19.068700 66.344500
HFF_model -18.941500 66.378600
