model_name fault_name longitude latitude type
HFF_model F2 -18.541970 66.350328 sf
HFF_model F2 -18.529400 66.348078 sf
HFF_model F2 -18.515110 66.345339 sf
HFF_model F2 -18.500260 66.342361 sf
HFF_model F2 -18.488860 66.339188 sf
HFF_model F2 -18.479170 66.336268 sf
HFF_model F2 -18.472940 66.332453 sf
HFF_model F2 -18.465570 66.328624 sf
HFF_model F2 -18.452500 66.323326 sf
HFF_model F2 -18.445660 66.320908 sf
HFF_model F2 -18.434810 66.318911 sf
HFF_model F2 -18.425130 66.315524 sf
HFF_model F2 -18.417170 66.312156 sf
HFF_model F2 -18.408090 66.307840 sf
HFF_model F2 -18.403600 66.303577 sf
HFF_model F2 -18.402000 66.298176 sf
HFF_model F5 -18.907650 66.370444 sf
HFF_model F5 -18.902640 66.363835 sf
HFF_model F5 -18.892490 66.355996 sf
HFF_model F5 -18.886930 66.348210 sf
HFF_model F5 -18.882510 66.340906 sf
HFF_model F5 -18.872930 66.333542 sf
HFF_model F5 -18.865080 66.325262 sf
HFF_model F5 -18.853750 66.318814 sf
HFF_model F5 -18.851110 66.309190 sf
HFF_model F5 -18.835740 66.303865 sf
HFF_model F5 -18.819190 66.299697 sf
HFF_model F5 -18.802100 66.294353 sf
HFF_model F5 -18.785550 66.290185 sf
HFF_model F5 -18.769010 66.285783 sf
HFF_model F5 -18.754200 66.280933 sf
HFF_model F5 -18.737110 66.275588 sf
HFF_model F5 -18.721730 66.270498 sf
HFF_model F6 -18.542940 66.333492 sf
HFF_model F6 -18.539040 66.328065 sf
HFF_model F6 -18.536310 66.322184 sf
HFF_model F6 -18.534980 66.305321 sf
HFF_model F6 -18.533990 66.298290 sf
HFF_model F6 -18.532010 66.284930 sf
HFF_model F7 -18.715360 66.272764 sf
HFF_model F7 -18.704470 66.272171 sf
HFF_model F7 -18.690190 66.269433 sf
HFF_model F7 -18.677640 66.266247 sf
HFF_model F7 -18.667380 66.263087 sf
HFF_model F7 -18.650800 66.260322 sf
HFF_model F7 -18.637130 66.255953 sf
HFF_model F7 -18.624620 66.250662 sf
HFF_model F7 -18.607500 66.246487 sf
HFF_model F7 -18.588080 66.242754 sf
HFF_model F7 -18.570360 66.239508 sf
HFF_model F7 -18.545710 66.238523 sf
HFF_model F7 -18.527390 66.236440 sf
HFF_model F7 -18.507940 66.233643 sf
HFF_model F7 -18.486120 66.234328 sf
HFF_model F7 -18.467710 66.236222 sf
HFF_model F7 -18.441920 66.234756 sf
HFF_model F7 -18.428810 66.230627 sf
HFF_model F7 -18.412280 66.225991 sf
HFF_model F7 -18.393420 66.222498 sf
HFF_model F7 -18.375130 66.219246 sf
HFF_model F7 -18.355730 66.214577 sf
HFF_model F7 -18.320770 66.212303 sf
HFF_model F11 -18.574210 66.296646 sf
HFF_model F11 -18.568570 66.292136 sf
HFF_model F11 -18.554340 66.287058 sf
HFF_model F11 -18.541850 66.281299 sf
HFF_model F11 -18.527630 66.275754 sf
HFF_model F11 -18.522630 66.268442 sf
HFF_model F11 -18.502140 66.261187 sf
HFF_model F11 -18.481610 66.255569 sf
HFF_model F11 -18.461060 66.250653 sf
HFF_model F11 -18.451350 66.248670 sf
HFF_model F11 -18.439910 66.247368 sf
HFF_model F11 -18.426800 66.243239 sf
HFF_model F11 -18.413090 66.240508 sf
HFF_model F11 -18.393070 66.237470 sf
HFF_model F12 -18.471780 66.258966 sf
HFF_model F12 -18.456920 66.256221 sf
HFF_model F12 -18.441510 66.252534 sf
HFF_model F12 -18.428380 66.249575 sf
HFF_model F12 -18.411860 66.244004 sf
HFF_model F12 -18.388510 66.236247 sf
HFF_model F12 -18.369660 66.232287 sf
HFF_model F12 -18.347930 66.228995 sf
HFF_model F12 -18.336620 66.222079 sf
HFF_model F12 -18.326970 66.217288 sf
HFF_model F12 -18.305220 66.214932 sf
HFF_model F12 -18.293770 66.213397 sf
HFF_model F24 -17.881500 66.148287 sf
HFF_model F24 -17.860910 66.145008 sf
HFF_model F24 -17.840340 66.141262 sf
HFF_model F24 -17.818040 66.137730 sf
HFF_model F24 -17.795730 66.134665 sf
HFF_model F24 -17.774000 66.131373 sf
HFF_model F24 -17.751110 66.128536 sf
HFF_model F24 -17.727030 66.127324 sf
HFF_model F24 -17.710500 66.122454 sf
HFF_model F24 -17.693990 66.116882 sf
HFF_model F24 -17.688900 66.113548 sf
HFF_model F24 -17.673470 66.110562 sf
